organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT BPD Kalimantan Selatan,,"Jl. Lambung Mangkurat No. 7, Banjarmasin 70111",,Payment Service Provider - License Category I,23/727/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Kalimantan Tengah,,"Jl. RTA. Milono No. 12, Palangkaraya 73111",,Payment Service Provider - License Category I,23/728/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Kalimantan Timur dan Kalimantan Utara (d/h PD BPD Kalimantan Timur),,"Gedung PT BPD Kaltim Kaltara Lt. 2-6, Jl. Jend. Sudirman No. 33, Samarinda 75122",,Payment Service Provider - License Category I,23/729/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Maluku dan Maluku Utara (d/h BPD Maluku),,"Jl. Raya Pattimura No. 9, Ambon 97124",,Payment Service Provider - License Category I,23/631/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Nusa Tenggara Barat,,"Jl. Pejanggik No. 30, Mataram 83126",,Payment Service Provider - License Category I,23/632/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT BPD Nusa Tenggara Timur,,"Jl. WJ. Lalamentik No. 102, Kupang",,Payment Service Provider - License Category I,23/633/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT BPD Papua,,"Jl. A. Yani No. 5-7, Jayapura 99111",,Payment Service Provider - License Category I,23/634/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sulawesi Selatan dan Sulawesi Barat (d/h PT BPD Sulawesi Selatan),,"Jl. Dr. Sam Ratulangi No. 16, Makassar 90125",,Payment Service Provider - License Category I,23/636/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sulawesi Tengah,,"Jl. Sultan Hasanuddin No. 20, Palu",,Payment Service Provider - License Category I,23/637/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sulawesi Tenggara,,"Jl. Mayjend Sutoyo No. 95, Kendari",,Payment Service Provider - License Category I,23/638/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sulawesi Utara Gorontalo (d/h PT BPD Sulawesi Utara),,"Jl. Sam Ratulangi No. 9, Manado 95111",,Payment Service Provider - License Category I,23/639/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sumatera Barat(Bank Nagari),,"Jl. Pemuda No. 21, Padang 25117",,Payment Service Provider - License Category I,23/640/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Sumatera Selatan dan Bangka Belitung (d/h PT BPD Sumatera Selatan),BSB Cash,"Jl. Gubernur H. Ahmad Bastari No. 7, Kel. Silaberanti Kec. Seberang Ulu I Jakabaring, Palembang",,Payment Service Provider - License Category I,23/641/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT BPD Sumatera Utara,,"Jl. Imam Bonjol No. 18, Medan",,Payment Service Provider - License Category I,23/642/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Barelang Mandiri,,"Kompl. Pertokoan Palm Spring, Blok B3 No. 9-10, Batam Centre, Batam",,Payment Service Provider - License Category I,23/643/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Dana Nusantara,,"Jl. Raja Ali Haji, Komp. Inti Sakti Blok A No.1-2, Batam 29432",,Payment Service Provider - License Category I,23/644/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Danagung Abadi,,"Jl. Magelang Km 8 Sendangadi, Mlati, Sleman, Yogyakarta",,Payment Service Provider - License Category I,23/645/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Danagung Bhakti,,"Jl. Kaliurang KM. 5,8, Gang Pandega Satya No. 26 A, YOGYAKARTA",,Payment Service Provider - License Category I,23/646/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Danagung Ramulti,,"Jl. Solo Km.11, Purwomartani Kalasan Sleman, Yogyakarta 55571",,Payment Service Provider - License Category I,23/647/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Eka Bumi Artha,,"Jl. A. Yani No. 70, Metro, Lampung",,Payment Service Provider - License Category I,23/648/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Hasamitra,,"Jl. DR. Wahidin Sudirohusodo, Komp. Pusat Pertokoan No. 5-6, Makassar",,Payment Service Provider - License Category I,23/649/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Jawa Timur,,"Jl. Ciliwung No. 11, Surabaya",,Payment Service Provider - License Category I,23/650/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Karyajatnika Sadaya,,"Jl. Abdurrahman Saleh No. 2, Bandung 40174",,Payment Service Provider - License Category I,23/651/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Aceh Syariah (d/h PT Bank Aceh),,"Jl. Mr. Mohd. Hasan No. 89, Batoh, Banda Aceh",,QRIS,23/469/DKSP/Srt/B,6/30/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Moneta Pembayaran Teknologi,,"APL Tower Lantai 9 Unit T8, Jl. Letjen S. Parman, Kavling 28, Jakarta Barat",,Payment Service Provider - License Category 3,21/305/DKI/B/15-000,6/29/2021,KPwBI Provinsi DKI Jakarta,5/21/2021,Remittance Services,Berizin (Telah Operasional),305.15-000/JKT,,
PT Ionpay Network,,"Eightyeight@Kasablanka Office Tower Lt. 29 Unit H, Jl. Casablanca Kav. 88, Jakarta Selatan",,Payment Service Provider - License Category 3,21/307/Jkt/B/16-0001,6/25/2021,KPwBI Provinsi DKI Jakarta,7/26/2021,Remittance Services,Berizin (Telah Operasional),307.16-001/JKT,,
PT Wise Payments Indonesia ,,"GoWork, Plaza Indonesia Mall Lantai 5, Jl. M.H. Thamrin Kav. 28-30, Jakarta Pusat 10350",,Payment Service Provider - License Category 3,21/304/DKI/B/14-0001,6/24/2021,KPwBI Provinsi DKI Jakarta,9/20/2021,Remittance Services,Berizin (Telah Operasional),304.14-001/JKT,,
PT Bank DBS Indonesia ,,"DBS Bank Tower, 33rd- 37 Fl. Ciputra World 1, Jl. Prof. Dr. Satrio Kav 3-5 Jakarta 12940, Indonesia",,QRIS,23/895/DKSP/Srt/B,6/24/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Bank Multiarta Sentosa,Bank MAS QRIS,"Grha Bank Mas, Jl.Setiabudi Selatan Kav. 7-8, Jakarta Selatan 12920",021-30002500,QRIS,23/431/DKSP/Srt/B,6/23/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,kantorpusat@bankmas.co.id,
PT Haji La Tunrung A.M.C,,"Jl. Ir. H.Juanda No 50, Palu",,Non Bank Money Changer Operators,23/528/Mks/Srt/B,6/23/2021,KPwBI Provinsi Sulawesi Selatan,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0396.021/0001,,
"PT Bank Ganesha, Tbk",,"Jl. Hayam Wuruk No. 8, Jakarta 10120",,QRIS,23/892/DKSP/Srt/B,6/22/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
LPK Alva Learning Center,,"Jl. Danau Sunter Utara Blok B No. 20 (Ruko Metro Sunter) Kel. Papanggo, Kec. Tanjung Priok JAKARTA UTARA 14340",021-6511623,Job Training Institute,23/75/DPSP/Srt/B,5/31/2021,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
"PT Bank KB Bukopin, Tbk (d/h PT Bank Bukopin, Tbk)",Wokee,"Gedung Bank Bukopin, Jl. MT. Haryono, Kav. 50-51, Jakarta Barat 12770",14005,QRIS,23/306/DKSP/Srt/B,4/7/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Sprint Asia Technology,Bayarind,"Jl. Raya RS Fatmawati No. 7 Gandaria Utara, Kebayoran Baru Jakarta Selatan, 12140",(021) 2700678,QRIS,23/301/DKSP/Srt/B,4/6/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,ecm.support@sprintasia.co.id,
PT Sugeh Makmur Remitan,,"Komplek Ruko Harbour Bay Blok A No. 7, Batu Ampar, Batam",,Payment Service Provider - License Category 3,23/302/Btm/105,3/30/2021,KPwBI Provinsi Kepulauan Riau,4/8/2021,Remittance Services,Berizin (Telah Operasional),0014.001/0060,,
PT Bank Digital BCA (d/h PT Bank Royal Indonesia),,"Jl. Suryopranoto No. 52, Jakarta 10310",(021) 63864472,QRIS,23/223/DKSP/Srt/B tanggal 23 Maret 2021,3/23/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,https://bcadigital.co.id/kontak
PT Bank Mayora,,"Gedung Mayora, Jl. Tomang Raya Kav. 21-23, Jakarta Barat 11440",(021) 56966954,QRIS,23/123/DKSP/Srt/B,3/10/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,ebanking@bankmayora.co.id,https://bankmayora.com
PT BPD Sulawesi Selatan dan Sulawesi Barat (d/h PT BPD Sulawesi Selatan),Sulselbar Mobile,"Jl. Dr. Sam Ratulangi No. 16, Makassar 90125",(0411) 859 171,QRIS,23/138/DKSO/Srt/B tanggal 10 Maret 2021,3/10/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,qris@banksulselbar.co.id,https://www.banksulselbar.co.id
"PT Bank Tabungan Negara (Persero), Tbk",BTN Mobile Banking,"Menara Bank BTN, Jl. Gajah Mada No. 1, Jakarta 10130",1500286,QRIS,23/100/DKSP/Srt/B tanggal 2 Maret 2021,3/2/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,btncontactcenter@btn.co.id,https://www.btn.co.id/
PT Bank Commonwealth,QR Payment CommBank Mobile,"Treasury Tower Lantai 65 Lot. 28, SCBD, Jl. Jend. Sudirman Kav.52-54, Jakarta 12190",1500030,QRIS,23/98/DKSP/Srt/B tanggal 2 Maret 2021,3/2/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,customercare@commbank.co.id,https://www.commbank.co.id/id/layanan/commbank-mob
PT Harga Kurs Remit,," No. 99K, Kaliawi, Tanjung Karang Pusat, Bandar Lampung",,Payment Service Provider - License Category 3,23/300/Bdl/2,3/1/2021,KPwBI Provinsi Lampung,,Remittance Services,Berizin (Telah Operasional),0028.001/0001,,
"PT Bank Bumi Artha, Tbk",QR BBA Mobile,"Jl. KH. Wahid Hasyim No. 234 Lt. 1-2, Jakarta 10250","021 314 2121 (Jakarta)
 0",QRIS,23/84/DKSP/Srt/B tanggal 24 Februari 2021,2/24/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,delivery_channel@bankbba.co.id,https://bankbba.co.id/
PT Yukk Kreasi Indonesia,YukkPay,"Jalan Sutera, Ruko De Mansion Blok D No. 17, Alam Sutera, Tangerang 15144",(021)31108040,QRIS,23/83/DKSP/Srt/B tanggal 24 Februari 2021,2/24/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,info@yukk.co.id,https://www.yukk.co.id
PT Remit Ekspres Indonesia,,"Menara Citibank Pondok Indah, Lantai 2, Jalan Metro Pondok Indah Kav II/BA No.1, Pondok Pinang, Jakarta 12310",,Payment Service Provider - License Category 3,23/301/Jkt/11,2/22/2021,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),,,
"PT Bank Artha Graha Internasional, Tbk","AGI Mobile
AGI Pay","Gedung Graha Niaga, Kawasan Niaga Terpadu (SCBD),  Jl. Jend. Sudirman Kav.52-53, Jakarta 12190 ",0-800-191-8880,QRIS,23/72/DKSP/Srt/B ,2/18/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Gemilang Perdana Sejati,,"GAIA Bumi Raya City Mall , Third Floor No. 01, jl. Adi Sucipto KM. 8, Kab. Kubu raya",,Non Bank Money Changer Operators,23/65/Ptk/Srt/B,2/11/2021,KPwBI Provinsi Kalimantan Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0023.002/0002,,
PT Gpay Digital Asia,GPay,"Sahid Sudirman Centre Lt. 36, Jl. Jend. Sudirman Kav 86, Jakarta 10220",(021) 29186667,QRIS,23/6/DKSP/Srt/B,1/14/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,hello@gpay.id,https://gpay.id/
PT Dhanapatra Loka Abadi,,"Menara 165 Lantai 4, Jl. TB. Simatupang Kav. 1, Jakarta Selatan",,Payment Service Provider - License Category 3,22/294/Jkt/10,1/5/2021,KPwBI Provinsi DKI Jakarta,3/30/2021,Remittance Services,Berizin (Telah Operasional),0025.001/0010,,
Lembaga Pelatihan Kerja Bank BTN,,"Menara BTN
Jl. Gajah Mada No.1 Jakarta Pusat
",021-6336789/021- 6332666,Job Training Institute,22/338/DPSP/Srt/B,12/29/2020,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Bank Sahabat Sampoerna,BSS Mobile (QRIS),"Sampoerna Strategic Square North Tower, Mezzanine Floor, Jl. Jend. Sudirman Kav. 45, Jakarta 12930",021 1500035,QRIS,22/657/DKSP/Srt/B,12/23/2020,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,https://www.banksampoerna.com
PT HSS Sumber Valas,,"Jl. Pembangunan Komplek Penuin Center Blok F No. 06, Kel. Batu Selicin, Kec. Lubuk Baja, Batam",,Non Bank Money Changer Operators,22/4/KEP.GBI/Btm/2020,12/22/2020,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1418.001/0185,,
PT Sen Valas Indo,,"Town House Permata Regency Blok EE No. 06, Kel. Baloi Indah, Kec. Lubuk Baja, Batam",,Non Bank Money Changer Operators,22/5/KEP.GBI/Btm/2020,12/22/2020,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1417.001/0184,,
PT Sinar Dana Valasindo,,"Jl. Pembangunan Komplek Penuin Center Blok E No. 10 Kec. Batu Selicin, Kec. Lubuk Baja, Batam",,Non Bank Money Changer Operators,22/3/KEP.GBI/Btm/2020,12/22/2020,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1419.001/0186,,
LPK Lembaga Pengembangan Perbankan Indonesia(LPPI),,"Gedung Perkantoran LPPI
Jl. Kemang Raya No.35, Jakarta Selatan 12730",021-71792012,Job Training Institute,22/329/DPSP/Srt/B,12/18/2020,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Astra Digital Arta,AstraPay,"Menara FIF Lt. 5, Jl. TB. Simatupang Kav. 15, Kel. Lebak Bulus Kec. Cilandak, Jakarta Selatan",1500793,QRIS,22/628/DKSP/Srt/B,12/8/2020,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,customercare@astrapay.com,https://www.astrapay.com/hubungi_kami
PT Citra Agung Sejati Valasindo,,Komplek Ruko Akutahu 1 Blok GG No.1,,Non Bank Money Changer Operators,22/1606/Btm/Srt/B,12/4/2020,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0733.003/0102,,
PT Eko Jaya Setiawan,,"Laguna Kejawan Mutiara No.17, Pakuwo Town Square, Pakuwon City, Surabaya",,Non Bank Money Changer Operators,22/1291/Sb/Srt/B,11/26/2020,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0966.002/0041,,
PT Sen Remit Indo,,"Town House Permata Regency Blok EE No. 06, Kel. Baloi Indah , Kec. Lubuk Baja, Batam, Kepulauan Riau",,Payment Service Provider - License Category 3,23/297/Btm/103,11/26/2020,KPwBI Provinsi Kepulauan Riau,2/26/2021,Remittance Services,Berizin (Telah Operasional),0014.001/0058,,
PT Mitradana Sejahtera Remitan,,"Komp. Penuin Centre Blok A No. 12 A, Batu Selicin, Kec. Lubuk Baja, Batam, Kepulauan Riau",,Payment Service Provider - License Category 3,23/298/Btm/104,11/26/2020,KPwBI Provinsi Kepulauan Riau,2/24/2021,Remittance Services,Berizin (Telah Operasional),0014.001/0059,,
PT BPD Jambi,QRIS Bank Jambi Mobile,"Jl. Jend. A. Yani No. 18, telanai Pura, Jambi 36122",1500665,QRIS,22/618/DKSP/Srt/B,11/24/2020,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,ebkp@bankjambi.co.id,
PT UCE Global Utama,,"Jl. Pusponjolo Barat No.32 RT.004 RW.001, Kec. Semarang Barat, Semarang",,Payment Service Provider - License Category 3,22/293/Sm/4,11/23/2020,KPwBI Provinsi Jawa Tengah,12/7/2020,Remittance Services,Berizin (Telah Operasional),0027.001/0001,,
PT Sugeh Arto Remitan,,"Kompleks Ruko Harbour Bay Blok A No.7, Kel. Sei. Jodoh, Kecamatan Batu Ampar, Batam, Kepulauan Riau",,Payment Service Provider - License Category 3,23/296/Btm/102,11/20/2020,KPwBI Provinsi Kepulauan Riau,2/20/2021,Remittance Services,Berizin (Telah Operasional),0014.001/0057,,
PT HSS Sumber Remitan,,"Komp. Penuin Centre Blok F No. 6, Jl. Pembangunan Kel. Sei, Batu Selicin, Kec. Lubuk Baja, Batam",,Payment Service Provider - License Category 3,23/295/Btm/101,11/20/2020,KPwBI Provinsi Kepulauan Riau,2/20/2021,Remittance Services,Berizin (Telah Operasional),0014.001/0056,,
PT Hai Hai Valasindo,,"Komplek Pertokoan Duta Merlin, Jl. Gajah Mada No. 3-5 Blok A20, RT.02 RW. 08, Kel. Petojo Utara, Kec. Gambir, Jakarta Pusat",,Non Bank Money Changer Operators,22/38/KEP.GBI/JKT/2020,11/18/2020,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1415.001/0445,,
PT Marnivaluta Berjayaraya Selalu,,"China Town Point Blok C6, lantai GF, Jl. Pancoran No. 42 A, Kel. Pinangsia, Kec. Tamansari, Jakarta Barat",,Non Bank Money Changer Operators,22/39/KEP.GBI/Jkt/2020,11/18/2020,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1414.001/0444,,
"PT Bank Muamalat Indonesia, Tbk",Muamalat QRIS,"Muamalat Tower, Jl. Prof. Dr. Satrio Kav. 18, Jakarta 12950",021 1500016,QRIS,22/604/DKSP/Srt/B,11/17/2020,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,https://www.bankmuamalat.co.id
PT Bogor Suci Sejahtera,,"Boxie 123 Mall Lt. 1, Jl. Raya Tajur No. 13, RT.001 RW. 006, Kec. Bogor Timur, Kota Bogor, Jawa Barat 16141",,Non Bank Money Changer Operators,22/962/Jkt/Srt/B,11/11/2020,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0870.002/0339,,
PT Sukses Bersama Permata,,"Jl. Jend. Sudirman No. 26, Kuanino, Kupang",,Payment Service Provider - License Category 3,22/291/Kpa/1,11/3/2020,KPwBI Provinsi Nusa Tenggara Timur,3/1/2021,Remittance Services,Berizin (Telah Operasional),0026.001/0001,,
PT. Benua Asia Abadi,,"Komp. Tanjung Pantun Blok X No. 3, Kel. Sei Jodoh, Kecamatan Batu Ampar, Batam",,Payment Service Provider - License Category 3,22/290/Btm/100,10/21/2020,KPwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0054,,
PT BPD Daerah Istimewa Yogyakarta (BPD DIY),BPDDIY QUAT (aplikasi merchant) dan QR PAY (fitur bayar di Mobile Banking),"Jl. Tentara Pelajar No. 7, Yogyakarta",1500061,QRIS,22/564/DKSP/Srt/B,10/20/2020,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,"trisuri@bpddiy.co.id , niti.indrakrista@bpddiy.co.",https://bpddiy.co.id/
PT Bali Surya Annaim,,"Jl. Danau Poso No. 55 Br. Blanjong, Sanur Kauli, Denpasar",,Non Bank Money Changer Operators,22/15/KEP.GBI/Dpr/2020,10/20/2020,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1409.001/0157,,
